"FileType" "Activity" "BodyAccelerationMeanY" "BodyAccelerationMeanZ" "BodyAccelerationStdX" "BodyAccelerationStdY" "BodyAccelerationStdZ" "GravityAccelerationMeanX" "GravityAccelerationMeanY" "GravityAccelerationMeanZ" "GravityAccelerationStdX" "GravityAccelerationStdY" "GravityAccelerationStdZ" "BodyAccelerationJerkMeanX" "BodyAccelerationJerkMeanY" "BodyAccelerationJerkMeanZ" "BodyAccelerationJerkStdX" "BodyAccelerationJerkStdY" "BodyAccelerationJerkStdZ" "BodyGyroscopeMeanX" "BodyGyroscopeMeanY" "BodyGyroscopeMeanZ" "BodyGyroscopeStdX" "BodyGyroscopeStdY" "BodyGyroscopeStdZ" "BodyGyroscopeJerkMeanX" "BodyGyroscopeJerkMeanY" "BodyGyroscopeJerkMeanZ" "BodyGyroscopeJerkStdX" "BodyGyroscopeJerkStdY" "BodyGyroscopeJerkStdZ" "BodyAccelerationMagnitudeMean" "BodyAccelerationMagnitudeStd" "GravityAccelerationMagnitudeMean" "GravityAccelerationMagnitudeStd" "BodyAccelerationJerkMagnitudeMean" "BodyAccelarationJerkMagnitudeStd" "BodyGyroscopeMagnitudeMean" "BodyGyroscopeMagnitudeStd" "BodyGyroscopeJerkMagnituteMean" "BodyGyroscopeJerkMagnituteStd" "FFTBodyAccelerationMeanX" "FFTBodyAccelerationMeanY" "FFTBodyAccelerationMeanZ" "FFTBodyAccelerationStdX" "FFTBodyAccelerationStdY" "FFTBodyAccelerationStdZ" "FFTBodyAccelerationJerkMeanX" "FFTBodyAccelerationJerkMeanY" "FFTBodyAccelerationJerkMeanZ" "FFTBodyAccelerationJerkStdX" "FFTBodyAccelerationJerkStdY" "FFTBodyAccelerationJerkStdZ" "FFTBodyGyroscopeMeanX" "FFTBodyGyroscopeMeanY" "FFTBodyGyroscopeMeanZ" "FFTBodyGyroscopeStdX" "FFTBodyGyroscopeStdY" "FFTBodyGyroscopeStdZ" "FFTBodyAccelerationMagnitudeMean" "FFTBodyAccelerationMagnitudeStd" "FFTBodyBodyAccelerationJerkMagnitudeMean" "FFTBodyBodyAccelerationJerkMagnitudeStd" "FFTBodyBodyGyroscopeMagnitudeMean" "FFTBodyBodyGyroscopeMagnitudeStd" "FFTBodyBodyGyroscopeJerkMagnitudeMean" "FFTBodyBodyGyroscopeJerkMagnitudeStd"
"1" "TRAIN" "LAYING" "-0.0183452479771855" "-0.107168709636461" "-0.959475238302061" "-0.937608935448472" "-0.941635287283866" "-0.370854938686567" "0.632926187069652" "0.57557155056091" "-0.941599380704335" "-0.957061403069012" "-0.943600986262971" "0.0815722575616205" "0.0113483623410661" "-0.00532249999608209" "-0.980429538464819" "-0.970716016723525" "-0.979334766545842" "-0.0167611908027991" "-0.091660815198081" "0.127147917707889" "-0.965341869218906" "-0.963438605707178" "-0.961435198422175" "-0.102019624959062" "-0.0382683832088763" "-0.0639964642257285" "-0.975493723411514" "-0.981437634278607" "-0.984583429004975" "-0.933298701817342" "-0.925425270312722" "-0.933298701817342" "-0.925425270312722" "-0.979067883653163" "-0.974099433837953" "-0.935764661371713" "-0.937939730744847" "-0.983166670739161" "-0.977324912189055" "-0.96623357050462" "-0.948790913989339" "-0.956210691862118" "-0.957307907502701" "-0.936034910177683" "-0.938502036889055" "-0.980189178550107" "-0.97089486137882" "-0.97631433684435" "-0.98256876949538" "-0.972728982835821" "-0.981007056687989" "-0.960446780433049" "-0.968139785280739" "-0.962619007583511" "-0.967206952885572" "-0.961463062750533" "-0.964692895927505" "-0.943950932251599" "-0.927962071920256" "-0.9741812297086" "-0.97302950880597" "-0.953724931549396" "-0.939025835269367" "-0.978582414975124" "-0.977124064577114"
"2" "TRAIN" "SITTING" "-0.0121426088459798" "-0.106580744993313" "-0.983449562153966" "-0.936208179940381" "-0.939274193888803" "0.870899899300156" "0.122785136286184" "0.162123894662294" "-0.979064977083981" "-0.957651371119751" "-0.947177473594868" "0.0757738529781182" "0.00497487103109658" "-0.00186788827412442" "-0.985544794618974" "-0.974649826034215" "-0.982526224152411" "-0.0378305948293904" "-0.0728027807545334" "0.0784742074521695" "-0.981262834082426" "-0.966305793009331" "-0.958891866041991" "-0.0959456649824261" "-0.0405964730900187" "-0.0513023722602862" "-0.98658476348367" "-0.986654023623639" "-0.984164647052877" "-0.955067543234837" "-0.939365758525816" "-0.955067543234837" "-0.939365758525816" "-0.982966618413686" "-0.9794403344479" "-0.94742138466563" "-0.950857575620529" "-0.988248275785381" "-0.984886442970451" "-0.983235173297045" "-0.948783229545879" "-0.957480579844479" "-0.983675290902022" "-0.933948759256143" "-0.934534156082426" "-0.985698027869362" "-0.974807063335925" "-0.979854031073095" "-0.986724182511664" "-0.976387838265941" "-0.983830467869362" "-0.977875242783826" "-0.972183939828927" "-0.961503434618974" "-0.98248034318818" "-0.963557481329705" "-0.961967228561431" "-0.952673262657854" "-0.941966512135303" "-0.979261088468118" "-0.978627076430793" "-0.964102259572317" "-0.951296691880249" "-0.985679431041991" "-0.984677767993779"
"3" "TRAIN" "STANDING" "-0.0161230846636681" "-0.10732962785709" "-0.985346233195051" "-0.936013307409025" "-0.942359763042212" "0.940855692081514" "-0.182159165492402" "-0.0273917941389855" "-0.988270207540029" "-0.970754316870451" "-0.955334333173217" "0.07485715063377" "0.00877429407298399" "-0.00387217635462227" "-0.981622950225619" "-0.96660630371179" "-0.980575465705968" "-0.0263231980185808" "-0.0660746057299709" "0.0787782501328239" "-0.950981475866084" "-0.96414183628821" "-0.960106905407569" "-0.0994459157848617" "-0.0424437794962882" "-0.0518025512964192" "-0.969492009825327" "-0.98204418555313" "-0.978999994272198" "-0.95678885018195" "-0.949050271871907" "-0.95678885018195" "-0.949050271871907" "-0.978738869002911" "-0.973516388609898" "-0.947207964796215" "-0.935924401841339" "-0.980589908020378" "-0.976113861921397" "-0.982912890618632" "-0.946150893748181" "-0.959054674475983" "-0.986574413391557" "-0.934624538980349" "-0.938062292598253" "-0.981626816149927" "-0.966931953151383" "-0.977422716790393" "-0.983361688056769" "-0.968763727401747" "-0.982416433216885" "-0.949080252780204" "-0.968026748042213" "-0.961498605240175" "-0.952324284970888" "-0.962401947845706" "-0.96344778356623" "-0.958227593384279" "-0.951799775699709" "-0.973202412219796" "-0.972900383770015" "-0.952814999133916" "-0.936800772816594" "-0.97750742639738" "-0.975822682598253"
"4" "TRAIN" "WALKING" "-0.0177677108511182" "-0.108884089505465" "-0.312641276860938" "-0.0202716892534421" "-0.246279194916452" "0.933317070057096" "-0.199518178897227" "-0.0649048773550457" "-0.977509136933116" "-0.966631852120718" "-0.952444776696574" "0.0781529317778793" "0.0121226741316897" "-0.00375555256860604" "-0.282116881167088" "-0.104970427937531" "-0.461915637480408" "-0.0312533147691762" "-0.0713125942324959" "0.0841943988581277" "-0.461290098708157" "-0.325584920802455" "-0.32080957637553" "-0.0968968860162643" "-0.0443103427345922" "-0.0524042952439478" "-0.361232566109217" "-0.502931986096003" "-0.440865118262072" "-0.16078708767832" "-0.33054317771252" "-0.16078708767832" "-0.33054317771252" "-0.243182988691175" "-0.22122673901031" "-0.257203964799315" "-0.36096832426354" "-0.450009825369331" "-0.487888281890326" "-0.299246289954772" "-0.0400579863409135" "-0.320268879986729" "-0.319449560903263" "-0.0733724623492251" "-0.267572362684095" "-0.321121167768654" "-0.173139305678834" "-0.434049963153246" "-0.306296265538255" "-0.0916769810447162" "-0.488938910530661" "-0.342625352351713" "-0.373186450008817" "-0.299156019251648" "-0.501130832201272" "-0.305965827883026" "-0.392421798877651" "-0.274583992340065" "-0.469706683062806" "-0.220474636401958" "-0.229687911080799" "-0.393456402177055" "-0.451461098451794" "-0.507109768565555" "-0.501290499908646"
"5" "TRAIN" "WALKING_DOWNSTAIRS" "-0.0163701864217556" "-0.105860325152107" "0.139846824303926" "0.079183931731927" "-0.168367906550132" "0.924336230375254" "-0.167095144852028" "-0.0521996569589989" "-0.948808651206897" "-0.934591624918864" "-0.909636090415821" "0.0882069647409736" "0.00243695730748479" "-0.00887530540913793" "-0.0081975248379716" "-0.0618724537659239" "-0.373529594680882" "-0.0766623641270639" "-0.0559099218163377" "0.0939252913958722" "-0.316944038169878" "-0.306181913257404" "-0.26144603615071" "-0.0742508688621095" "-0.0519342665009533" "-0.052917414205284" "-0.374000213890974" "-0.444762616614097" "-0.318832476117718" "0.137366108163682" "0.144636835872059" "0.137366108163682" "0.144636835872059" "-0.0896983345591278" "0.00319743123002028" "-0.104601976301298" "-0.227265452316329" "-0.397171015459939" "-0.430866415856653" "0.0713559405859939" "0.0737650952372211" "-0.192976080589219" "0.161841907222363" "0.0116440806198682" "-0.224422769657505" "-0.0476361590971602" "-0.105878566493306" "-0.314602839812373" "-0.0578981617975233" "-0.0790313050466197" "-0.432035778998519" "-0.201783634086511" "-0.28679197429716" "-0.152922530932252" "-0.358229126788915" "-0.32730982482787" "-0.370165715908925" "0.171065464344219" "-0.0519754917174949" "0.027554426056359" "-0.0387999123583974" "-0.266010319105811" "-0.341661716555527" "-0.423414186458479" "-0.483144255183296"
"6" "TRAIN" "WALKING_UPSTAIRS" "-0.0266470525735974" "-0.120423564420037" "-0.221072445907903" "-0.000348031582171482" "-0.140363752818472" "0.872378174930103" "-0.28691577583411" "-0.148313217708166" "-0.946344178769804" "-0.925389766076421" "-0.899679890894688" "0.0781685444347158" "0.0104508404666636" "-0.0055333909217521" "-0.355849488668406" "-0.328541506919935" "-0.622193012661696" "0.0209240364789655" "-0.0969463358755993" "0.0491202105442125" "-0.461445663370363" "-0.321570850665424" "-0.238455522894334" "-0.115634379434529" "-0.0393221127075303" "-0.0519831673859832" "-0.542672583806617" "-0.661038928760485" "-0.56399488868932" "-0.0754501490696831" "-0.235551736910382" "-0.0754501490696831" "-0.235551736910382" "-0.38127785952479" "-0.38735343572274" "-0.165519411338164" "-0.303978179337558" "-0.601125454923672" "-0.664181538692451" "-0.285477495368322" "-0.12240638059096" "-0.352435071945573" "-0.198615524473914" "-0.00557541172054054" "-0.105928929517437" "-0.384993618073159" "-0.35481868269617" "-0.586735444993476" "-0.384103045858528" "-0.346762525466654" "-0.656696754193849" "-0.387804415129357" "-0.445290581715704" "-0.297544907199814" "-0.489514621167474" "-0.266935034348369" "-0.293684227338677" "-0.248835990713271" "-0.349171321564772" "-0.353468006783504" "-0.439910272754185" "-0.429560837457409" "-0.346609728583225" "-0.655382609368593" "-0.701593753741845"
"7" "TEST" "LAYING" "-0.0182456228329236" "-0.108134996675233" "-0.964750344692737" "-0.958961259925512" "-0.964927132290503" "-0.385937754614525" "0.594350912979516" "0.503317463620112" "-0.947827229962756" "-0.979253784934823" "-0.973531121975791" "0.0825682671290503" "0.0107112016761881" "-0.00364736361863873" "-0.980256750707635" "-0.972278279683426" "-0.979848204692737" "-0.0166314081294004" "-0.0979956312043575" "0.122576525847486" "-0.974575194841713" "-0.962547564208566" "-0.968943417318436" "-0.101457328947858" "-0.03801389731527" "-0.0634655948080075" "-0.977778340986965" "-0.977947653873371" "-0.985304182718808" "-0.961578850614525" "-0.949805818519553" "-0.961578850614525" "-0.949805818519553" "-0.979577853575419" "-0.974610375400372" "-0.945435104413408" "-0.94755611895717" "-0.981573659888268" "-0.975261643500931" "-0.968327808193668" "-0.962864108901304" "-0.969993645065177" "-0.963547345810056" "-0.959297968620112" "-0.964355421625698" "-0.980219864897579" "-0.972664254394786" "-0.977401070260708" "-0.982173560986965" "-0.973895600260708" "-0.980879842532588" "-0.969382140558659" "-0.966120752178771" "-0.968285986927374" "-0.976403305605214" "-0.961109421824953" "-0.972050234487896" "-0.957424189783985" "-0.953138504479888" "-0.974611609068901" "-0.973586610782123" "-0.957813942756052" "-0.95021154301676" "-0.976359034581006" "-0.975401442439479"
"8" "TEST" "SITTING" "-0.0141221515132994" "-0.102730909698778" "-0.983437472749491" "-0.9314033418778" "-0.938215184142566" "0.9028616299389" "0.071857995734034" "0.131904738775356" "-0.981298906069246" "-0.957728709456212" "-0.947828792947047" "0.076153849587169" "0.00523557345498982" "-0.00410731471661263" "-0.983563065824847" "-0.971875152668024" "-0.981694772077393" "-0.0400046946661914" "-0.0703346296040733" "0.0759514418063747" "-0.980391992382892" "-0.967761899022403" "-0.955691205600815" "-0.0948832319185336" "-0.0412598892004073" "-0.0493232638925051" "-0.983401234236253" "-0.986105054114053" "-0.982864892851324" "-0.953534394704684" "-0.9392153100611" "-0.953534394704684" "-0.9392153100611" "-0.981076791425662" "-0.977510406741344" "-0.944897951527495" "-0.952093296334012" "-0.986915690997963" "-0.983877373299389" "-0.982716887922607" "-0.945651716354379" "-0.955853613588595" "-0.983935781955193" "-0.928826696148676" "-0.933819490450509" "-0.983854947474542" "-0.971843441731161" "-0.978797028004073" "-0.984772635397149" "-0.974082505132383" "-0.98325268293279" "-0.975674870224033" "-0.973174330101833" "-0.959785362179226" "-0.981948078452138" "-0.965280836802444" "-0.958576115132383" "-0.951721972551935" "-0.94208825496945" "-0.977173862342159" "-0.976917733543788" "-0.964803846456212" "-0.95254545598778" "-0.984435176130346" "-0.98400311509165"
"9" "TEST" "STANDING" "-0.0162262731035301" "-0.10466868287406" "-0.982080518496241" "-0.923457376973684" "-0.933595536629699" "0.943091097537594" "-0.189637522767538" "0.0204009151990789" "-0.987356506654135" "-0.96572940268797" "-0.947266767753759" "0.075468957712782" "0.00888523101716541" "-0.00641548605615977" "-0.975695739736842" "-0.958496662406015" "-0.976671984022556" "-0.0276270984325752" "-0.0719404272818233" "0.0836650240665414" "-0.931444571390977" "-0.953936289642857" "-0.949165841541353" "-0.100461129155075" "-0.0419899598712406" "-0.0528522741647744" "-0.960413190958647" "-0.975663792180451" "-0.972075062631579" "-0.947440893270677" "-0.940038000263158" "-0.947440893270677" "-0.940038000263158" "-0.972931858515038" "-0.966123790845865" "-0.929095799830827" "-0.91301937112782" "-0.973808504699248" "-0.966851556766917" "-0.978289100733083" "-0.935336432838346" "-0.952981901785714" "-0.984014116334586" "-0.922115261618421" "-0.928665948665414" "-0.975829558834586" "-0.958388878139098" "-0.972891029661654" "-0.977860039473684" "-0.961841590695489" "-0.979166264097744" "-0.929640505827068" "-0.958267475281955" "-0.950343429605263" "-0.933147031785714" "-0.952000106052632" "-0.953564673195489" "-0.949774215169173" "-0.943924405018797" "-0.965635777255639" "-0.965905446015038" "-0.935236448120301" "-0.914716719605263" "-0.968115551522556" "-0.967361696372181"
"10" "TEST" "WALKING" "-0.018250712002498" "-0.108875750766129" "-0.319595856634677" "-0.031767626453629" "-0.342244602873911" "0.939130584415323" "-0.189780957912097" "-0.0264384787160887" "-0.977866512903226" "-0.967576257318548" "-0.959918772116935" "0.0731737339316129" "0.00998238899389113" "0.00123049294354839" "-0.230634921260282" "-0.0986195505663911" "-0.521739457217742" "-0.0433151675165726" "-0.0647420858230101" "0.0917220728034476" "-0.49123325066129" "-0.40313354348629" "-0.382048326903226" "-0.0878835560618952" "-0.0452121990068548" "-0.0579666753374798" "-0.413270422316532" "-0.536563346574597" "-0.463647341954839" "-0.185612933587746" "-0.355577474335887" "-0.185612933587746" "-0.355577474335887" "-0.237173351544978" "-0.198067072712843" "-0.318522629716532" "-0.436169354776008" "-0.486469326477823" "-0.525913731689919" "-0.294540792568548" "-0.0479779302057258" "-0.3951612810625" "-0.331205812727218" "-0.0866828255034476" "-0.366538572371935" "-0.286425196154032" "-0.163611924388669" "-0.492933167243952" "-0.242420560580565" "-0.0888750052252419" "-0.549313653548387" "-0.362109013486694" "-0.425951988348931" "-0.338214254380242" "-0.533422340395161" "-0.396217017188105" "-0.455425174120968" "-0.277965865165121" "-0.505450664375" "-0.200266603682944" "-0.201670204510645" "-0.448021014490363" "-0.52913161384879" "-0.53629723682746" "-0.546820470782661"
